datetime;nodes;channels;capacity
2024-07-25 00:00:00;12976;49995;528870044069
2024-07-24 00:00:00;13009;50108;527201105317
2024-07-23 00:00:00;13010;50215;528452708815
2024-07-22 00:00:00;13052;50341;534988726583
2024-07-21 00:00:00;13042;50291;533823925753
2024-07-20 00:00:00;13090;50418;533681778383
2024-07-19 00:00:00;13085;50479;533988074546
2024-07-18 00:00:00;13077;50453;533470987627
2024-07-17 00:00:00;13126;50623;533896449284
2024-07-16 00:00:00;13118;50593;532371171430
2024-07-15 00:00:00;13113;50579;531582691996
2024-07-14 00:00:00;13017;50381;528782787401
2024-07-13 00:00:00;13126;50628;530312017313
2024-07-12 00:00:00;13122;50574;529131303913
2024-07-11 00:00:00;13131;50611;525410006775
2024-07-10 00:00:00;13110;50604;525290643275
2024-07-09 00:00:00;13159;50650;524487567503
2024-07-08 00:00:00;13151;50654;523833611705
2024-07-07 00:00:00;13174;50687;523865729565
2024-07-06 00:00:00;13209;50822;522294427326
2024-07-05 00:00:00;13202;50787;520965968745
2024-07-04 00:00:00;13189;50871;521467454667
2024-07-03 00:00:00;13194;50927;521071198358
2024-07-02 00:00:00;13227;51002;520609095341
2024-07-01 00:00:00;13210;50984;519885237212
2024-06-30 00:00:00;13200;51118;518095661012
2024-06-29 00:00:00;13214;51192;517433212100
2024-06-28 00:00:00;13196;51197;517136976332
2024-06-27 00:00:00;13174;51136;515753637656
2024-06-26 00:00:00;13125;51080;515911487823
2024-06-25 00:00:00;13131;51156;515362761562
2024-06-24 00:00:00;13102;51107;514915806627
2024-06-23 00:00:00;13090;51087;512578158352
2024-06-22 00:00:00;8502;42377;493750824727
2024-06-21 00:00:00;13167;51186;512697257275
2024-06-20 00:00:00;13154;51171;511914996064
2024-06-19 00:00:00;13112;51133;511245975596
2024-06-18 00:00:00;13162;51332;510488480957
2024-06-17 00:00:00;13129;51218;507833931792
2024-06-16 00:00:00;13159;51384;507280898847
2024-06-15 00:00:00;7329;40920;486237553193
2024-06-14 00:00:00;13170;51630;509841654981
2024-06-13 00:00:00;13114;51421;507964362503
2024-06-12 00:00:00;13094;51381;507181192966
2024-06-11 00:00:00;13133;51516;507187167871
